Patient Cost (5-AVG);;;;;;AED Cost (5-AVG);;;;;
Proximity;Path;Diff.;%;;;Proximity;Path;Diff.;%;;
80,40;75,40;5,00;6,2%;;;357,40;290,80;66,60;18,6%;;
229,40;215,20;14,20;6,2%;;;190,00;154,60;35,40;18,6%;;
38,80;36,40;2,40;6,2%;;;181,80;148,00;33,80;18,6%;;
120,00;112,60;7,40;6,2%;;;143,40;116,80;26,60;18,5%;;
78,20;73,40;4,80;6,1%;;;209,20;170,40;38,80;18,5%;;
84,80;79,60;5,20;6,1%;;;175,60;143,20;32,40;18,5%;;
75,40;70,80;4,60;6,1%;;;328,60;268,20;60,40;18,4%;;
75,40;70,80;4,60;6,1%;;;152,40;124,40;28,00;18,4%;;
92,00;86,40;5,60;6,1%;;;153,20;125,20;28,00;18,3%;;
122,20;114,80;7,40;6,1%;;;309,00;252,60;56,40;18,3%;;
93,20;87,60;5,60;6,0%;;;457,40;374,00;83,40;18,2%;;
40,00;37,60;2,40;6,0%;;;209,60;171,40;38,20;18,2%;;
71,20;67,00;4,20;5,9%;;;362,00;296,20;65,80;18,2%;;
102,00;96,00;6,00;5,9%;;;194,00;158,80;35,20;18,1%;;
105,80;99,60;6,20;5,9%;;;147,80;121,00;26,80;18,1%;;
102,40;96,40;6,00;5,9%;;;228,40;187,20;41,20;18,0%;;
61,60;58,00;3,60;5,8%;;;148,20;121,60;26,60;17,9%;;
62,20;58,60;3,60;5,8%;;;73,60;60,40;13,20;17,9%;;
65,80;62,00;3,80;5,8%;;;307,40;252,40;55,00;17,9%;;
62,80;59,20;3,60;5,7%;;;544,20;447,00;97,20;17,9%;;
206,00;194,20;11,80;5,7%;;;180,60;148,40;32,20;17,8%;;
135,00;127,40;7,60;5,6%;;;381,60;313,60;68,00;17,8%;;
161,60;152,60;9,00;5,6%;;;371,80;305,60;66,20;17,8%;;
108,60;102,60;6,00;5,5%;;;141,60;116,40;25,20;17,8%;;
80,60;76,20;4,40;5,5%;;;141,60;116,40;25,20;17,8%;;
110,20;104,20;6,00;5,4%;;;121,40;99,80;21,60;17,8%;;
55,20;52,20;3,00;5,4%;;;502,00;412,80;89,20;17,8%;;
44,60;42,20;2,40;5,4%;;;181,40;149,40;32,00;17,6%;;
41,00;38,80;2,20;5,4%;;;132,80;109,40;23,40;17,6%;;
53,00;50,20;2,80;5,3%;;;271,40;224,00;47,40;17,5%;;
109,80;104,00;5,80;5,3%;;;335,60;277,00;58,60;17,5%;;
68,80;65,20;3,60;5,2%;;;218,20;180,20;38,00;17,4%;;
65,60;62,20;3,40;5,2%;;;181,20;149,80;31,40;17,3%;;
54,40;51,60;2,80;5,1%;;;146,80;121,40;25,40;17,3%;;
120,80;114,60;6,20;5,1%;;;268,20;221,80;46,40;17,3%;;
74,40;70,60;3,80;5,1%;;;229,40;189,80;39,60;17,3%;;
105,80;100,40;5,40;5,1%;;;356,00;294,80;61,20;17,2%;;
68,20;64,80;3,40;5,0%;;;263,40;218,20;45,20;17,2%;;
68,20;64,80;3,40;5,0%;;;281,60;233,40;48,20;17,1%;;
60,80;57,80;3,00;4,9%;;;164,80;136,60;28,20;17,1%;;
44,60;42,40;2,20;4,9%;;;496,00;411,20;84,80;17,1%;;
44,60;42,40;2,20;4,9%;;;125,20;103,80;21,40;17,1%;;
44,60;42,40;2,20;4,9%;;;299,60;248,40;51,20;17,1%;;
81,20;77,20;4,00;4,9%;;;65,80;54,60;11,20;17,0%;;
40,80;38,80;2,00;4,9%;;;371,60;308,60;63,00;17,0%;;
159,20;151,40;7,80;4,9%;;;321,60;267,20;54,40;16,9%;;
144,20;137,20;7,00;4,9%;;;132,60;110,20;22,40;16,9%;;
58,00;55,20;2,80;4,8%;;;134,80;112,20;22,60;16,8%;;
66,40;63,20;3,20;4,8%;;;160,00;133,20;26,80;16,8%;;
91,40;87,00;4,40;4,8%;;;565,20;470,60;94,60;16,7%;;
58,20;55,40;2,80;4,8%;;;386,20;321,60;64,60;16,7%;;
58,20;55,40;2,80;4,8%;;;169,40;141,20;28,20;16,6%;;
171,00;162,80;8,20;4,8%;;;226,20;188,60;37,60;16,6%;;
84,00;80,00;4,00;4,8%;;;270,00;225,20;44,80;16,6%;;
55,20;52,60;2,60;4,7%;;;82,00;68,40;13,60;16,6%;;
76,60;73,00;3,60;4,7%;;;157,40;131,40;26,00;16,5%;;
102,20;97,40;4,80;4,7%;;;288,00;240,60;47,40;16,5%;;
77,00;73,40;3,60;4,7%;;;215,20;179,80;35,40;16,4%;;
65,40;62,40;3,00;4,6%;;;270,00;225,60;44,40;16,4%;;
118,00;112,60;5,40;4,6%;;;250,60;209,40;41,20;16,4%;;
61,20;58,40;2,80;4,6%;;;113,40;94,80;18,60;16,4%;;
43,80;41,80;2,00;4,6%;;;113,40;94,80;18,60;16,4%;;
